Sq_Ft,price
2062,140
1732.46,92
2062,150
1224,70
1777.26,105
1650,82
2062,140
1650,82
1224,67
1723,95
1777.26,89
1777.26,92
1350,65
2060,140
920,40
1740,95
1190,55
600,28
2072,108
1100,55
900,50
1240,60
900,44.5
1000,53
1100,53
2050,100
8321,2912
1644,84
1640,84
1220,65
936,42
936,43
1100,55
834,60
834,62
1127,55
1125,55
450,11
1600,52.8
400,11
400,12
400,14
500,17
2168,95
395,10.25
420,17
418,12
1200,42
400,10
850,25
2400,120
450,12.5
782,19.55
400,11.5
460,13
418,11.5
1000,42
550,11.5
410,10
1700,65
400,10.25
520,15
1200,65
4000,150
400,14
1250,60
600,23
1000,60
975,60
2300,120
833,49
2045,108
1236,50
1190,48
1300,79
1313,58.27
1460,73
1405,70
1060,49.27
1020,60
1020,49
1765,77.27
1075,50
2700,230
1600,88
1050,110
1500,203
1800,150
1060,55
999,45
2400,225
1194,65
1200,67
2400,228
1194,65
975,45
865,33
375,40
1717,200
950,52
1850,170
1200,80
1274,70
1070,48
1280,80
1100,70
1000,58
2990,416
1265,55
2200,220
2780,325
2400,360
965,56
1147,75
1750,172
1400,90
1200,70
1100,47
930,46
2500,345
1350,90
1150,63
3300,165
1450,81
1776,75
1458,79
935,51.5
1020,46.5
1600,112
1300,75
1540,78
450,20
1196,56.81
1470,99
1100,52
700,29
1611,66
1675,75
1141,46
1500,57
1050,45
1141,45.9
1230,53
1105,40
1410,65
1450,55.99
1100,38
1061,33.84
1061,38.95
1061,34
1245,58
1494,94.55
1274,81
1842,115
1494,94.55
1274,81
1494,94.55
1842,115
1842,115
1842,115
2360,150
560,21
1050,40
1200,50
985,57
1407,83.87
2400,135
4400,350
1220,72
1210,80.9
1210,72
1205,78.5
790.5,41.9
1020.07,68.38
1205.47,81
1007,65
1210,74
1210,83
675,45
656,43
1012,64
1007,62
1007,67
1007,66
645,34.18
790.5,42.295
1012,65
656,38.77
645,39
645,41
1210,82
656,34.77
1205,73.87
1012,70
1007,68
1205,79
1012,68
1051,33
825,40
1525,122
1500,89.99
1630,97.78
2008,170
1560,125
1525,91.48
1500,120
1077,37.64
1470,88.64
1300,75
1800,115
1125,63
1310,80
2600,135
1900,170
1260,75
1170,46.79
1350,83
1330,78
1400,78
1700,125
1020,40.79
1600,63.98
1041,36.44
2400,200
1390,86
1460,70
1200,60
1290,80
1186,65
1650,101
1181,75
1105,90
720,60
1040,45
1330,77
1200,49
1185,67
1000,50
1650,90.75
1650,101
1310,80.43
1430,87.8
1020,42.83
1540,80
1683,115
1800,125
1175,41.13
1450,50.75
1770,108
1800,125
1200,74.52
1100,63
1020,40.79
1260,75
1426,85
1700,150
1500,120
2400,510
1240,59.52
1250,110
1260,95
2400,300
1400,100
2800,425
3000,450
1200,198
1245,125
1305,58.7
1145,58.4
1650,118
1350,68
1305,59
1305,60
1200,42
1305,59
1480,75.48
1305,59
1304,111
3000,150
1085,50
1500,100
2100,147
1420,95
1300,58.5
1305,49
1035,35.77
1355,61
1510,47.57
1650,51.98
1630,51.35
1510,47.57
1315,49
1540,48.51
920,41.5
1177.5,59.935
4800,190
1160,59
1180,59.47
1423,71.73
1392,69.46
1410.5,70.385
4800,200
1184,53
1145,55
1250,60
1365,73
1903,140
1222,80
870,38
1200,60
1340,73
1008,52
1105,57
1200,70
1050,64.8
2500,140
1350,185
1080,55
2350,325
1665,110
2370,195
1100,66
1113,70
1200,73.2
1070,87
1776,124
1776,150
500,18.5
1050,65
1170,66
595,33.32
1445,95
1640,120
1460,90
1179,66.02
1122.5,58.935
793,45
1400,78
1215,50
1654,100
1181,55
1200,75
595,31.83
1105,51
1255,65.26
1550,82
1650,122
912,55
1218,73
1115,65.12
1893,100
1600,95
1275,65
892,39
1260,70
1157,40
1150,65
1100,39
1725,110
950,38
1220,80
1130,78
1486,83.22
1015,48
1115,61
1136,48
2700,260
1200,69
1465,76
1302.5,67.73
1200,65
1240,65
1476,125
1532.5,84.29
1268,69
1450,87
2932,195
960,58
1750,130
1275,73
1240,71
1215,68
1215,68
1894,115
1693,89
1280,60.16
630,35
1215,68
1365,76.18
1115,78
1532.5,79.465
1655,90
1247,47.39
1237.5,49.49
1650,94
905,65
1000,50
2185,120
1012,45
1460,80
1340,85
1711,125
1520,81
2826,148
1115,61
1154,47
1000,44.5
1250,48
1640,105
1012,44
1527,115
1550,96
1200,78
1885,125
1450,78
700,31.2
905,58
1920,122
2400,180
1270,45
1520,80
1270,73
1846,120
1122.5,61.74
1655,95
1206,53
1150,55
1215,65
1510,110
1022,35
1246,47.35
1470,85
1160,45
970,57
1527,142
1100,60
1045,42
1100,60
1301,55
1540,70
1440,72
1294,52
1100,60
1405,70
1182,60.1
2400,80
2000,25
1428,70
1220,68
1095,38.52
1165,65
1036,105
2600,260
1600,160
1560,145
1800,195
1100,93
1050,103
1180,124
1200,120
2453,250
1645,95
1645,95
4500,415
1865,145
1200,90
2400,310
1200,80
900,60
1900,150
1200,85
1200,70
581.91,25
1680,85
1950,95
1055,43
1200,65
1779,89.61
1300,50
1945,97.42
1777,100
1135,43
1276,45
1880,94.36
1071,62
1165,43
1636,82.89
1779,90
1090,38.37
2082,104
2024,103
1097,49
1419,59
1580,75
1559,63
1445,47.1
1475,74
3500,185
1100,55
1306,65
1304,65
1411,60
815,40
1443,70
1200,44
1200,46.8
1160,44
1584,65
1615,59.76
1200,43.2
1160,44.08
1200,45
1615,60
1410,53
1200,37.8
1160,40.59
1260,46.62
1600,58.14
1500,70
1160,42
1240,39.06
1200,45
1500,55
1410,52.17
1583,74.4
1170,46
1160,42.92
1410,52.17
1565,59.76
1160,42
1410,53.58
1200,45
1200,42.6
1160,42
1334,42.69
1565,57.91
1200,45.6
1215,43.13
1160,36.54
1200,44.4
1260,39.69
1160,44
952,42
1200,42
1240,45.88
1200,50
1200,44
1100,42.6
1565,57.91
1200,44.4
1160,36.54
1215,43.75
1200,44.73
1160,42
1410,54.99
1254,53
1050,38
1260,58
1275,59
1767,103
1205,66
1250,76
1000,50
1281,74
921,40
1490,98
1220,60
1299,82
900,56
1350,79
1286,57
1457,85
1195,51
1050,72
1310,72
1785,118
1051,60
1060,65
1100,62
1685,100
982,55
1205,59
1063,58
1201,59.99
1325,65
1281,87
1200,52
1785,120
1088,48
1310,85
1465,90
1767,109
3600,245
1150,69.44
1410,92
1015,60
1685,101
1735,105
1685,115
1049,51
1211,63
1717,110
1200,62
960,48
1690,116
950,40
850,45
1454,90
1195,52
1260,83.5
1535,90
1047,75
900,45
1220,48.79
1025,42.5
1050,43.5
1200,95
3200,350
4460,650
2850,470
1300,120
1567,140
1688.12,270
1805,280
1688,280
960,33
560,19
4046,445
1200,85
540,22.5
1322,68
1351,70
1384,59
1351,74
1432,68
1349,56.7
1328,69
1300,55.86
1670,99
1444,75.97
1447,75.97
1700,126
1447,75.97
1760,127
1447,75.97
1949,129
1760,128
1447,75.97
2439,185
1444,75.97
1205,64.47
1447,75.97
2439,170
1205,68.32
1260,69.9
2439,170
1707,115
970,52.5
1277,79.89
1703,120
2150,170
1100,57
900,45
1280,68.48
2400,185
1600,110
3600,225
1800,72
4200,255
1450,68
1654,82
2400,110
5400,250
2400,107
1125,62
1090,52
1112,62
2400,150
2968,225
950,58.11
1360,110
1125,65
950,56
1805,134
1755,122
665,50.75
660,54
660,62
1365,122
1795,139
1740,150
1970,164
1516,147
1180,48
1075,46
1075,45
845,33
1075,45
845,37
845,29
1075,47
850,32
1075,50
1075,52
1180,46
1075,42
845,37
1075,43
700,32
1075,52
1075,50
845,33
945,33
845,30
1075,43
1080,45
1180,55.5
1075,47
1075,48
1075,45
1075,44
850,27
1075,42
845,32
845,34
3000,140
520,19.5
515,25
1090,44
1850,90
910,45
1050,46
1100,55
2100,85
1307,50
1091,40
1160,53
1050,54
1260,49.36
1200,46
1035,41
1035,41.73
1034,40
877,30
920,37.46
1035,41.43
1295,50.28
1015,40
1000,35
955,35.28
1005,39.77
1014,35
1020,40.89
920,37.2
800,32
1280,50
1942,90
1127,45
877,29
1365,52.81
842,30
1260,49.36
1365,52.82
955,37.97
1089,40
1365,53.96
1090,31.48
1400,40.44
1320,38.13
1020,29.45
1165,33.64
1090,31.48
1000,28.88
1020,29.45
1160,33.51
1125,32.49
1125,32.49
1130,32.64
1065,30.75
1200,125
1632,145
1670,135
1680,135
1632,128
3339,250
1232,96
1632,140
2200,150
1100,38.68
1520,111
1280,90
1275,69
1721,93
1720,95
1150,69
1142,70
2800,240
1476,105
1700,152
1262,75
1139,80
1125,70
1420,85
941,48
1100,55
2400,140
1225,66.5
1950,175
1080,50
1230,55
1200,75
1089,49
1130,56
1270,95
1706,115
1389,94
1225,72
1746,115
1560,149
1382,84.5
1260,70
1206,90
1594,140
1153,56.4
1162,59.9
1991,103
1153,57
1162,57
1139,56.8
1139,56.85
1991,100
664,35
1820,93
1636,85
1444,70
1139,60
1820,93
1162,58
1636,85
1087,54.3
664,35.4
1153,56.7
1139,56.5
1636,83
664,34
1162,58
1153,60
1820,99
1172,56.725
1820,95
1991,100
1820,95.5
1153,56
705,34.545
1153,56.5
1153,58
1636,88
1153,56.55
1153,56.5
1153,60
3155,370
3500,425
1413,75
1325,90
540,36
2631,200
650,50
1300,63
1455,56
1140,60
1100,55
1250,65
1600,120
3811,475
1120,55
1070,55
740,37
1028,49
1392,98
1070,47.5
1825,126
1025,50
1198,60
1560,85
1590,85
1100,58
1051,61
1020,55
1285,65
1040,50
1392,95
705,50
1125,46
1400,78
1400,78
907,38
1310,62
2400,260
1600,165
1950,230
1756,307
1669,298
2098,210
1000,45
900,35
1600,90
1600,90
1732.5,91.855
1770,99
532,22.49
1639,123
1475,120
1900,170
1350,180
1050,162
1660.4,211
505,85
1565,98.91
730,52
1650,115
2800,250
645,16.45
645,16.45
1200,32
1025,27.68
582.5,15.135
1065,33
850,25.4
590,13.57
645,16.45
520,14.04
1200,36
645,16.45
645,16.45
700,19
1095,32
1208.51,42
876,29.5
645,16.45
1505,42
645,16.45
937,30
1025,27.68
800,25
645,16.45
778,25.29
950,25.65
1200,36
645,16.45
1025,27.68
1345,39.5
520,14.04
1323,42
410,10
645,16.45
645,16.45
1200,36
740,22
876,28.47
520,14.04
1260,85.05
890,75
1600,130
1260,85.05
1200,190
1009,38.34
1065,35
1470,90
1115,33.45
1030,34.5
4200,180
1115,40
1200,67.77
1104,35.5
1160,55
1050,41
1065,40.47
1070,38
1050,35
1093,34
808,40
1010,36
1123,36
1000,35
1500,89.45
1330,51.83
1093,37
1115,35.8
1500,61.95
830,36.28
1200,67.77
1195,56
1175,38
1200,46.13
1065,36
1050,44.41
1010,32
1210,40
1535,55
1115,50
3100,165
1563,52
1180,40
2400,98
1250,62.4
1000,45
1115,56.87
1465,74.72
1100,56.1
1145,58.4
1095,55.85
1035,52.79
1480,75.48
1705,86.96
1260,75
1080,44.8
1050,45
1220,52
1093,65
1250,75
2600,120
2325,120
1808,80.27
3297,135
3500,150
2646,99
2704,105
2325,95
2325,120
3250,136
2665,125
950,40
1600,80
2400,97
2000,65
1067,38
1320,46
4000,110
1398,51
1397,52
1200,45
1402,85
1290,56.12
1100,50
1208,49
1070,50
1230,48
1070,42.8
1270,55.25
1075,46.76
1230,53.51
1290,56.12
1070,45.48
1100,50
1390,60.47
1090,47.42
1325,59
1275,55.46
1113,46
1045,42
2292,285
1225,48
1020,40
980,41
1266.67,69
2511,205
1370,75
750,50
2000,135
1300,95
1115,50
1300,57
1530,77
1197,63
1465,75
1115,50
1215,59
1254,65
1580,105
725,36
1075,45
1180,71.22
1140,62
1560,78
1065,46
1115,50
1115,50
2920,536
1991,160
1007,43
1272,51.5
1156,46
1007,48
3045,170
1652.5,90
3950,450
2388,239
1710,200
1310,111
3900,415
2560,310
2600,375
1100,90
2300,250
1975,150
1650,100
1730,140
1600,150
1250,95
1280,120
1073,72
1000,58
1200,140
1250,60
5270,1250
3875,864
3875,800
3815,763
2880,501
3489,662
4170,800
2700,501
2880,560
1600,72
1855,225
1980,224
1541,181
2735,340
708,37
708,40
965,42.5
814,42
1163,65
1286,68
708,31.15
708,41
814,43.7
1295,65
1520,75
1300,55
1150,70
2100,120
1220,52
1375,60
1333,78.56
1220,62
1160,49
1150,126
6600,986
1150,125
2800,365
1270,172
8000,2800
1100,75
1260,66.78
1282,68.52
1360,65
1408,85
1010,51
1080,53.35
2400,100
1174,59
658,34
658,26.91
698.5,28.57
1080,52
1700,88.2
1498,79.15
1466,77.59
775,39
1020,49.87
1045,48
1550,85
1340,65
2125,107
1230,56.45
1360,62.425
658,26.91
1010,58
1380,80
1080,62
1230,58
1460,70
1090,45
946,45
1470,60
2000,105
1410,68
1100,65
1611,64.44
1610,64.4
1339,53.56
1520,62
1125,44
1000,42
1225,47
1215,46.8
1500,56
1300,60
1600,75
1015,45
1260,55
850,28
1390,60
1804,121
1080,50
1999,132
1100,48
1999,135
1100,41.15
1252,71
1155,46
1128,45
1148,56
1145,46.5
1829,125
1100,41.16
1100,46.75
1315,50
1135,58
1100,41.18
1370,60
1200,71
1585,79
1005,45
1264,52
1148,60
1188,73
1148,69
1864,115
1458,87
4200,325
3876,300
2776,195
2440,142
2400,200
654,49
3206,270
830,37
800,30
1290,45.33
1200,74
1550,70
3150,145
1300,32
1250,39
747,27
1010,40.39
1010,40.39
1072,42.87
1010,40.4
1010,41
1072,42.87
1550,60
1180,56
1409,62
1119,48.5
1160,55
1475,70
1025,48
1512,65.01
1768,95
1092,49
1760,176
1280,40
2045,154
1148,59
1128,48.4
970,33
1050,32
850,25
1030,42
1549,65
550,17
1015,33.5
1104,39
915,32
750,25.5
1595,62
855,32
1105,50
925,30
1208,45
1100,50
940,32.9
1382,65
1107,44
907,40
1783,85
550,17
30000,2100
1400,80
1717,99
1594,99
1893,115
1400,85
30400,1824
3500,350
3100,385
1097,65
1350,75
7800,2000
2100,280
2000,200
1460,88
2456,220
1540,90
1875,150
1429,86
640,55
1050,85
1800,150
1720,135
1950,165
2180,285
650,70
780,70
2180,285
1740,120
1695,125
1246,95
2100,145
1276,80
1850,180
2955,235
1650,180
900,160
805,22.14
1153,43.5
1090,43.5
850,25.4
999,32.9
1340,100
2250,199
1625,150
1596,105
1596,95
1570,115
1500,65
1200,54
1132,67
1285,82
2330,162
1330,92.5
1330,86.98
1330,93.36
1500,102
1280,69
1125,65
1734,125
1343,86
2350,163
1860,130
2210,165
2710,177
1650,110
1190,70
2070,135
1600,95
1210,75
1500,64.5
1060,60
1152,64.5
770,36
1070,52
1025,46
589,27
910,40
1108,63
1128,65
1800,95
630,34.65
1128,63
1599,99
1070,55
940,41
1128,68.75
1342,73.3
1360,71
1265,56.93
1691,102
1128,65.49
1070,56.1
2000,120
890,45
1128,65.65
865,42
910,42
1360,75
770,40
1128,64
1070,54
1571,89
1111,50
870,39.5
1374,72
1128,65.35
1128,65
755,34
1563,91.84
1025,54.5
1070,46
1350,58
1700,75
1128,68
700,35
1360,70.5
1571,105
1600,104
1500,100
1152,65
1070,60
1128,65.5
1200,59
1152,65.75
1070,55
1060,58
1025,54.1
1500,78
1213,59.32
1575,90
1449,100
1125,58
1575,101
550,12
919,40
1500,78.25
1363,79
1108,67.15
1128,65.7
1060,51
1650,100
1025,49
1449,90
1070,58
1210,54
1500,75
1070,52
2435,119
1073,60
1500,78
1070,47
1296,65
1140,70.93
2093,104
1025,53.9
940,54
435,21
1500,77.5
1631,80
1355,67
435,22
1039,50
770,39.9
1128,64
605,13.31
530,13.5
1070,53
1571,83
1350,66
1652,110
1128,65.58
635,28
1128,65.4
1355,72.9
1609,115
770,35
865,40
1108,63
630,40.5
605,22
1070,48
1360,70
635,28
1128,65.45
890,40
630,33.7
1400,90
1258,85.5
1386,85
1025,50
1070,55
1342,72
1275,70
770,38
1644,92.59
1250,62
418,12
1128,64.8
1060,55
710,40.42
1275,63.43
1518,75
1090,31.48
1060,55
1353,75
1128,67
1070,57
1700,90
750,35
1210,55
1070,60
1615,97
1221,68
1500,73
995,48
1342,90
1128,63.5
589,29
1575,94.5
1070,48
1025,54
1500,70
1500,64.5
2093,134
1355,73
1360,64.99
1060,52
1056,39.07
1020,30.6
1069,45
630,28.35
1000,25
1090,28.34
2225,98.88
775,38
1266,59
1000,28.88
972,44
1031,55
1003,40.6
1031,56.35
1395,62.78
1160,33.5
1065,30.75
1219,61.25
1000,28.88
1790,100
769,40
900,32.5
1418,52.47
1070,45
1140,33.06
1089,32.67
1031,55
1253,65.8
1160,33.5
6000,260
1116,37
1125,29.25
1000,28.88
1000,28.88
1000,28.88
1165,30.29
1031,53
1065,30.88
1549,80
1065,56.13
920,26
1140,33.84
1219,61.26
1252,65
1125,32.49
1286,69
1140,32.92
1116,40
1150,46
1192,47
1020,32
1900,97
1020,27.43
1025,26.65
1020,29.45
1000,28.88
1140,28.5
1125,32.49
1200,34.65
1160,52.2
1244,55
1160,33.51
972,40
1160,33.51
1090,31.48
1140,32.92
650,35
1155,57
1800,92
1300,28
1160,33.5
1025,29.6
829,22.8
2187.5,105
1252,67
1125,32.63
1140,34
1252,65
1135,46
1305,65
1165,33.64
1336,50.35
575,16.75
1065,30.76
1065,30.75
1140,33.06
911,26.5
1200,34.65
1031,54.48
950,33
1475,78.29
1490,78.8
1113.27,53
1490,84
1015,56
1515,80.91
995,46
1555,82
1340,75
1124,55
1175,57
755,42.41
580,27
940,49
1335,67
1113.12,55
1350,71
995,49.8
635,26
1190,68
1450,72.54
360,16.9
638,32
1175,64.98
585,21
1200,59.76
1145,54
1125,65
1550,82
865,40
1800,93
1314,60
1170,62
1450,79
940,48
940,44
1300,67
1028,51
1205,60
1305,67
755,30.12
1175,60
1000,66
1180,69
2145,125
1700,180
1305,95.45
1870,185
1750,150
2000,200
3500,330
2350,285
1550,140
1900,145
2560,265
2400,260
2560,288
3436,341
1315,140
1706,154
2079,220
3435,341
3436,345
3100,400
5400,400
1180,105
2900,325
1870,180
896,100
1420,120
1150,75
1330,68
1820,86
1225,47
1140,48.95
1315,65
1315,65
1315,64
1735,70
1643,70
2500,300
600,38
845,55
1112,68
998,65
1250,65
1200,75
1325,60.8
1060,48.7
1150,52.75
1295,59.5
1320,60.6
1295,59.5
1150,52.8
1150,52.8
1060,48.5
1150,52.5
1325,60.8
1060,48.66
1150,52
1154,51.8
2000,95
850,32.5
893,34.5
2400,400
1800,252
1350,240
2400,400
3000,375
2400,400
4000,750
1350,195
1200,180
1539,60
1450,65
3600,170
1372,90
1395,63.59
1325,47
1050,48
1170,45.51
1170,39
1418,62
861,34.5
1408,62
861,34.5
1318,54
861,36.5
1320,60
1345,60
1905,86
1318,56
1129,50
2023.71,275
3179,351
1950.2,261
2171.66,298
1165,75
1280,75
1530,97
1155,65
1570,95
1155,64
1100,40
967,45
1618,82.5
1222,63
1300,65
950,38
1153,48.5
812,26
1460,65
1500,70
1621,72
812,26
990,40
1235,63
1385,64
1000,35
1010,35
1410,45
1435,62
945,45
2500,120
1230,52
1120,50
1500,63
1200,40
1280,61
1205,56.58
1170,40
3000,132
1613,72
1110,36.25
1245,59
1200,50
1310,88
2600,370
1326,62.17
1578,73.9
1639,77.89
2100,170
1045,45
1670,120
3250,230
1776.42,105
3250,230
940,56.8
1075,60
1715,115
1751,115
1750,130
1530,105
1752,105
1680,95
1728,125
1645,110
1517,100
3150,218
1750,120
1751,115
1750,105
1885,135
1715,120
1623.29,105
1715,115
1715,105
1600,105
1717,125
1250,75
1715,112
1007,43
1000,36
1107,40
1108,48
1150,42
1010,41
1200,66
1470,82
1745,104
1745,115
1745,110
1650,71
2570,141
1205,70
1435,80
1475,80
1100,49.5
1060,46
2000,125
980,35
1140,43
1356,66
1600,75
2000,95
1140,49.11
1195,44
1190,40
1457,60
1080,41
1175,43.48
1362,62.63
1071,51
1063,40
1235,52.76
1362,62.63
1362,62.63
1588,90
1235,44.5
1457,60
1050,43
1400,45
993,42
1235,52.76
1490,300
2100,252
2700,500
2040,500
1865,350
1200,49
2800,200
1722,95
1200,60
1004,49
1783,125
1656,90
1089,60
1700,110
1198,65
1200,120
1832,160
1105,58
1700,80
7500,425
1464,56
1464,56
1464,56
1464,56
1464,56
1464,56
1374,95
1440,98
2800,250
1210,75
1265,78
1170,75
1900,90
1625,120
1301,120
1145,68.5
1300,90
1372,68
1475,75
1467,55
1140,46
1372,61
1750,95
1027,44
1650,110
1140,46
1372,61
1140,46
1185,60
1127,68
1600,115
1145,48
1009,56
1300,98
1140,46
1126,69
1140,46
1145,46
1142,65
1145,46
1844,95
1203,72
1140,46
4200,245
1140,46
1145,46
1009,56
1145,46
1100,44
1203,60
1120,70
1140,46
1289,70
1844,89
1203,60
1140,46
1200,165
1086,47.5
1225,55.11
1220,54.89
3300,310
1240,70
1027,44
2805,154
1194,47
1202,53
1056,61
1810,100
1194,46
2805,154
1225,67.38
1243,46
1027,44
1920,115
1875,110
1194,47
1140,43
1027,44
1194,46
2017,125
1140,43
1875,110
1092,44
2475,130
1300,73
1194,47
1243,46
1850,110
1225,67.38
1243,46
1464,56
1230,78
1000,44
1300,79
1444,80
1088,68
1027,44
1225,70
1194,46
1830,101
1464,56
1520,96
1300,75
2017,125
1243,46
1027,44
2805,160
1243,46
1027,44
2017,105
1243,46
1243,46
1520,90
1300,60
1985,130
1056,60
1140,42
1245,62
1140,58
1140,42
1027,43
1194,47
1194,47
1560,90
1520,85
1243,45
1027,44
1194,46
1650,100
1580,73
1243,46
1194,47
2805,154
1520,96
1510,83.05
1056,65
1810,100
1243,46
575,38
1194,46
1243,46
1194,46
1140,43
1850,120
1194,47
1194,47
1243,46
1710,85
1730,95
1243,46
1243,46
1243,46
1817,110
1225,77
1285,78
1225,67.48
1225,69.84
1200,46
1315,85
1976,92
1300,75
1309,82
1027,44
1243,46
1243,46
1140,43
1300,75
1243,46
1890,84
1230,67.65
1194,46
1092,44
1735,97
1810,97.83
1200,46
1243,46
1810,112
2400,95
1311,48
1174,69
1197,84
1757,132
1174,76
1754,125
1290,85
1752.12,116
1754,124
1152,69
